Pickup Community Area,Trip Count,Trip Rolling AVG 24,Trip Rolling Count 24,Trip Rolling AVG day,Trip Rolling Count day,lag_1h,lag_2h,lag_3h,lag_4h,lag_5h,lag_6h,lag_7h,lag_8h,lag_9h,lag_10h,lag_11h,lag_12h,lag_13h,lag_14h,lag_15h,lag_16h,lag_17h,lag_18h,lag_19h,lag_20h,lag_21h,lag_22h,lag_23h,lag_1d,lag_2d,lag_3d,lag_4d,lag_5d,lag_6d,lag_7d,Year,Month,Day,Hour,Week Of Year,Day Of Week
27,0,0.875,21,0.518,87,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,0,3,1,2,1,0,0,0,0,0,0,0,0,2022,12,9,5,49,6
27,0,0.875,21,0.512,86,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,0,3,1,2,1,0,2,0,1,1,0,1,2022,12,9,6,49,6
27,0,0.833,20,0.512,86,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,0,3,1,2,1,0,0,0,0,1,0,2022,12,9,7,49,6
27,0,0.75,18,0.506,85,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,0,3,1,2,0,0,0,0,0,1,2022,12,9,8,49,6
27,1,0.75,18,0.512,86,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,0,3,1,0,0,2,0,2,0,2022,12,9,9,49,6
27,2,0.708,17,0.524,88,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,0,3,1,0,2,1,2,0,2022,12,9,10,49,6
27,0,0.708,17,0.518,87,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,0,3,0,1,0,0,1,2022,12,9,11,49,6
27,0,0.625,15,0.512,86,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,1,3,3,3,1,1,2022,12,9,12,49,6
27,0,0.5,12,0.512,86,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,3,2,1,2,0,0,0,2022,12,9,13,49,6
27,1,0.5,12,0.506,85,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,1,1,0,0,0,0,2,2022,12,9,14,49,6
27,4,0.583,14,0.524,88,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,2,0,1,1,0,0,1,2022,12,9,15,49,6
27,0,0.542,13,0.524,88,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,1,0,2,0,0,2022,12,9,16,49,6
27,0,0.458,11,0.524,88,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,2,0,0,0,0,2022,12,9,17,49,6
27,2,0.542,13,0.536,90,0,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,2022,12,9,18,49,6
27,0,0.542,13,0.536,90,2,0,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0,1,0,2022,12,9,19,49,6
27,0,0.5,12,0.53,89,0,2,0,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,2022,12,9,20,49,6
27,0,0.458,11,0.53,89,0,0,2,0,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,2022,12,9,21,49,6
